measure 0,-,-,-,-,-,-
-,-,-,16th.continue.down.pos10,4,3,True
-,-,-,16th.continue.down.pos11,4,4,True
-,-,-,16th.stop.down.pos12,4,5,True
-,-,-,16th.start.down.pos13,4,6,True
-,-,-,16th.continue.down.pos10,4,7,True
-,-,-,16th.continue.down.pos11,4,8,True
-,-,-,16th.continue.down.pos12,4,9,True
-,-,-,16th.continue.down.pos13,4,10,True
-,-,-,16th.stop.down.pos14,4,11,True
-,-,-,barline.regular,4,11,True
-,-,-,16th.start.down.pos9,4,0,True
-,-,-,16th.continue.down.pos7,4,1,True
-,-,-,16th.continue.down.pos8,4,2,True
-,-,-,16th.continue.down.pos9,4,3,True
-,-,-,16th.continue.down.pos10,4,4,True
-,-,-,16th.stop.down.pos11,4,5,True
-,-,-,16th.start.down.pos12,4,6,True
-,-,-,16th.continue.down.pos9,4,7,True
-,-,-,16th.continue.down.pos10,4,8,True
-,-,-,16th.continue.down.pos11,4,9,True
-,-,-,16th.continue.down.pos12,4,10,True
-,-,-,16th.stop.down.pos13,4,11,True
-,-,-,barline.regular,4,11,True
-,-,-,barline.return-to-top,4,11,True
measure 5,-,-,-,-,-,-
quarter.noBeam.down.pos5,5,0,16th.start.down.pos9,5,0,True
quarter.noBeam.down.pos7,5,1,16th.continue.down.pos9,5,1,True
quarter.noBeam.down.pos10,5,2,dynamics.ff,5,2,True
dynamics.p,5,3,>,5,3,True
>,5,4,accid.sharp.pos8,5,3,True
quarter.noBeam.down.pos9,5,4,16th.continue.down.pos8,5,3,True
barline.regular,5,4,16th.continue.down.pos8,5,4,True
rest.half,5,0,16th.continue.down.pos9,5,5,True
rest.quarter,5,1,16th.stop.down.pos9,5,6,True
quarter.noBeam.up.pos-2,5,2,16th.start.down.pos8,5,7,True
barline.regular,5,2,16th.continue.down.pos8,5,8,True
rest.whole,5,0,16th.continue.down.pos9,5,9,True
barline.regular,5,0,16th.continue.down.pos9,5,10,True
rest.whole,5,0,16th.continue.down.pos8,5,11,True
barline.regular,5,0,16th.stop.down.pos8,5,12,True
barline.return-to-top,5,0,barline.regular,5,12,True
-,-,-,half.noBeam.down.pos4,5,0,True
-,-,-,duration.dot.pos4,5,0,True
-,-,-,barline.regular,5,0,True
-,-,-,16th.start.down.pos6,5,0,True
-,-,-,16th.continue.down.pos6,5,1,True
-,-,-,dynamics.ff,5,2,True
-,-,-,>,5,3,True
-,-,-,16th.continue.down.pos5,5,3,True
-,-,-,dynamics.ff,5,4,True
-,-,-,>,5,5,True
-,-,-,16th.continue.down.pos5,5,5,True
-,-,-,16th.continue.down.pos6,5,6,True
-,-,-,16th.stop.down.pos6,5,7,True
-,-,-,16th.start.down.pos5,5,8,True
-,-,-,16th.continue.down.pos5,5,9,True
-,-,-,16th.continue.down.pos6,5,10,True
-,-,-,16th.continue.down.pos6,5,11,True
-,-,-,16th.continue.down.pos5,5,12,True
-,-,-,16th.stop.down.pos5,5,13,True
-,-,-,barline.regular,5,13,True
-,-,-,dynamics.ff,5,0,True
-,-,-,>,5,1,True
-,-,-,half.noBeam.down.pos5,5,1,True
-,-,-,duration.dot.pos6,5,1,True
-,-,-,barline.regular,5,1,True
-,-,-,barline.return-to-top,5,1,True
measure 6,-,-,-,-,-,-
accid.sharp.pos8,6,0,16th.start.down.pos9,6,0,True
quarter.noBeam.down.pos8,6,0,16th.continue.down.pos9,6,1,True
quarter.noBeam.down.pos7,6,1,accid.natural.pos10,6,2,True
quarter.noBeam.down.pos6,6,2,16th.continue.down.pos10,6,2,True
quarter.noBeam.down.pos5,6,3,16th.continue.down.pos10,6,3,True
barline.regular,6,3,16th.continue.down.pos11,6,4,True
quarter.noBeam.up.pos-1,6,0,16th.stop.down.pos11,6,5,True
accid.sharp.pos1,6,1,16th.start.down.pos10,6,6,True
quarter.noBeam.up.pos1,6,1,16th.continue.down.pos10,6,7,True
quarter.noBeam.down.pos4,6,2,16th.continue.down.pos11,6,8,True
dynamics.p,6,3,16th.continue.down.pos11,6,9,True
>,6,4,16th.continue.down.pos10,6,10,True
accid.natural.pos3,6,4,16th.stop.down.pos10,6,11,True
quarter.noBeam.up.pos3,6,4,barline.regular,6,11,True
tie.start.pos3,6,4,16th.start.down.pos4,6,0,True
barline.regular,6,4,16th.continue.down.pos4,6,1,True
rest.half,6,0,16th.continue.down.pos7,6,2,True
rest.quarter,6,1,16th.continue.down.pos7,6,3,True
quarter.noBeam.up.pos-2,6,2,16th.continue.down.pos7,6,4,True
barline.regular,6,2,16th.stop.down.pos7,6,5,True
rest.whole,6,0,16th.noBeam.down.pos7,6,6,True
barline.regular,6,0,duration.dot.pos8,6,6,True
barline.return-to-top,6,0,rest.32nd,6,7,True
-,-,-,rest.quarter,6,8,True
-,-,-,barline.regular,6,8,True
-,-,-,16th.start.down.pos6,6,0,True
-,-,-,16th.continue.down.pos6,6,1,True
-,-,-,accid.sharp.pos7,6,2,True
-,-,-,16th.continue.down.pos7,6,2,True
-,-,-,16th.continue.down.pos7,6,3,True
-,-,-,16th.continue.down.pos8,6,4,True
-,-,-,16th.stop.down.pos8,6,5,True
-,-,-,16th.start.down.pos7,6,6,True
-,-,-,16th.continue.down.pos7,6,7,True
-,-,-,16th.continue.down.pos8,6,8,True
-,-,-,16th.continue.down.pos8,6,9,True
-,-,-,16th.continue.down.pos7,6,10,True
-,-,-,16th.stop.down.pos7,6,11,True
-,-,-,barline.regular,6,11,True
-,-,-,half.noBeam.down.pos5,6,0,True
-,-,-,duration.dot.pos6,6,0,True
-,-,-,barline.regular,6,0,True
-,-,-,barline.return-to-top,6,0,True
measure 7,-,-,-,-,-,-
half.noBeam.down.pos4,7,0,16th.start.down.pos11,7,0,True
quarter.noBeam.down.pos5,7,1,16th.continue.down.pos11,7,1,True
quarter.noBeam.down.pos6,7,2,16th.continue.down.pos13,7,2,True
barline.regular,7,2,16th.continue.down.pos13,7,3,True
quarter.noBeam.up.pos3,7,0,16th.continue.down.pos14,7,4,True
quarter.noBeam.up.pos2,7,1,16th.stop.down.pos14,7,5,True
accid.natural.pos3,7,2,16th.start.down.pos13,7,6,True
quarter.noBeam.up.pos3,7,2,16th.continue.down.pos13,7,7,True
accid.natural.pos4,7,3,16th.continue.down.pos14,7,8,True
quarter.noBeam.down.pos4,7,3,16th.continue.down.pos14,7,9,True
barline.regular,7,3,16th.continue.down.pos13,7,10,True
quarter.noBeam.up.pos1,7,0,16th.stop.down.pos13,7,11,True
quarter.noBeam.up.pos3,7,1,barline.regular,7,11,True
quarter.noBeam.down.pos6,7,2,16th.start.down.pos7,7,0,True
dynamics.p,7,3,16th.continue.down.pos7,7,1,True
>,7,4,accid.sharp.pos8,7,2,True
quarter.noBeam.down.pos5,7,4,16th.continue.down.pos8,7,2,True
tie.start.pos5,7,4,16th.continue.down.pos8,7,3,True
barline.regular,7,4,16th.continue.down.pos9,7,4,True
rest.half,7,0,16th.stop.down.pos9,7,5,True
rest.quarter,7,1,16th.start.down.pos8,7,6,True
dynamics.p,7,2,16th.continue.down.pos8,7,7,True
>,7,3,16th.continue.down.pos9,7,8,True
quarter.noBeam.up.pos0,7,3,16th.continue.down.pos9,7,9,True
barline.regular,7,3,16th.continue.down.pos8,7,10,True
barline.return-to-top,7,3,16th.stop.down.pos8,7,11,True
-,-,-,barline.regular,7,11,True
-,-,-,16th.start.down.pos8,7,0,True
-,-,-,16th.continue.down.pos8,7,1,True
-,-,-,16th.continue.down.pos6,7,2,True
-,-,-,16th.continue.down.pos6,7,3,True
-,-,-,16th.continue.down.pos6,7,4,True
-,-,-,16th.stop.down.pos6,7,5,True
-,-,-,16th.noBeam.down.pos6,7,6,True
-,-,-,duration.dot.pos6,7,6,True
-,-,-,rest.32nd,7,7,True
-,-,-,rest.quarter,7,8,True
-,-,-,barline.regular,7,8,True
-,-,-,half.noBeam.down.pos5,7,0,True
-,-,-,duration.dot.pos6,7,0,True
-,-,-,barline.regular,7,0,True
-,-,-,barline.return-to-top,7,0,True
measure 8,-,-,-,-,-,-
quarter.noBeam.down.pos7,8,0,16th.start.down.pos14,8,0,True
rest.quarter,8,1,16th.continue.down.pos14,8,1,True
rest.quarter,8,2,accid.sharp.pos15,8,2,True
quarter.noBeam.down.pos5,8,3,16th.continue.down.pos15,8,2,True
barline.regular,8,3,16th.continue.down.pos15,8,3,True
quarter.noBeam.down.pos5,8,0,16th.continue.down.pos16,8,4,True
rest.quarter,8,1,16th.stop.down.pos16,8,5,True
rest.quarter,8,2,16th.start.down.pos15,8,6,True
quarter.noBeam.down.pos4,8,3,16th.continue.down.pos15,8,7,True
barline.regular,8,3,16th.continue.down.pos16,8,8,True
quarter.noBeam.down.pos5,8,0,16th.continue.down.pos16,8,9,True
quarter.noBeam.down.pos4,8,1,16th.continue.down.pos15,8,10,True
quarter.noBeam.down.pos5,8,2,16th.stop.down.pos15,8,11,True
accid.natural.pos6,8,3,barline.regular,8,11,True
quarter.noBeam.down.pos6,8,3,16th.start.down.pos9,8,0,True
barline.regular,8,3,16th.continue.down.pos9,8,1,True
quarter.noBeam.up.pos3,8,0,16th.continue.down.pos11,8,2,True
quarter.noBeam.down.pos5,8,1,16th.continue.down.pos11,8,3,True
